Name,Allegiances,died,Gender,Nobility
Sour Alyn,None,0,1,0
Spare Boot,Night's Watch,0,1,0
Spotted Cat,None,0,1,0
Spotted Pate of Maidenpool,Night's Watch,1,1,0
Squint,House Greyjoy,1,1,0
Squirrel,Wildling,1,0,0
Stalwart Shield,Targaryen,1,1,0
Steelskin,None,0,1,0
Steffon Swyft,Lannister,0,1,1
Stevron Frey,Stark,1,1,1
Stiv,Wildling,1,1,0
Stone Thumbs,Wildling,1,1,0
Stonesnake,Night's Watch,0,1,0
Stygg,House Greyjoy,0,1,0
Styr,Wildling,1,1,1
Sybassion,None,0,1,0
Sybell Spicer,Lannister,0,0,1
Sybelle Glover,Stark,0,0,1
Sylva Santagar,Martell,0,0,1
Symon Silver Tongue,Lannister,1,1,0
Symon Stripeback,Targaryen,0,1,0
Symond Frey,None,1,1,1
Symond Templeton,Arryn,0,1,1
Syrio Forel,House Stark,1,1,0
Taena of Myr,Lannister,0,0,1
Tal Toraq,Targaryen,0,1,0
Tallad,Lannister,0,1,0
Tanda Stokeworth,Lannister,1,0,1
Tanton Fossoway,Baratheon,0,1,1
Ternesio Terys,None,0,1,0
Terrance Lynderly,Arryn,0,1,1
The Red Lamb,House Targaryen,0,1,0
Theo Frey,None,0,1,1
Theodan Wells,Stark,0,1,1
Theomore Lannister,None,0,1,1
Theon Greyjoy,House Greyjoy,0,1,1
Thistle,Wildling,1,0,0
Thoren Smallwood,Night's Watch,1,1,1
Thoros,None,0,1,0
Three Toes,None,0,1,0
Three-Tooth,Greyjoy,0,0,0
Tickler,Lannister,1,1,0
Tim Tangletongue,Night's Watch,0,1,0
Timeon,None,1,1,0
Timett,Lannister,0,1,0
Timon,Baratheon,0,1,0
Tion Frey,Lannister,1,0,1
Tobho Mott,None,0,1,0
Todder,Night's Watch,0,1,0
Todric,Greyjoy,1,1,0
Tom of Sevenstreams,None,0,1,0
Tomard,House Stark,1,1,0
Tormund,Wildling,0,1,1
Torrek,None,0,1,0
Torrhen Karstark,Stark,1,1,1
Tothmure,Lannister,1,1,0
Tregar,House Lannister,1,1,0
Tremond Gargalen,Martell,0,1,1
Tristifer Botley,Greyjoy,0,1,1
Triston Sunderland,Lannister,0,1,1
Tuffleberry,None,0,1,0
Tumberjon,Night's Watch,0,1,0
Tumco Lho,Targaryen,0,1,0
Tybero Istarion,None,0,1,0
Tycho Nestoris,None,0,1,0
Tyene Sand,House Martell,0,0,1
Tymor,House Greyjoy,1,1,0
Tyrek Lannister,House Lannister,1,1,1
Tyrion Lannister,Lannister,0,1,1
Tyta Frey,None,0,0,1
Tytos Blackwood,Tully,0,1,1
Tytos Brax,Lannister,0,1,1
Tytos Frey,None,1,1,1
Tywin Lannister,House Lannister,1,1,1
Ulf son of Umar,Lannister,1,1,0
Ulf the Ill,House Greyjoy,1,1,0
Ulmer,Night's Watch,0,1,0
Ulwyck Uller,Martell,0,1,1
Umar,None,0,1,0
Umfred,None,0,1,0
Unella,None,0,1,0
Urreg,Night's Watch,1,1,0
Urswyck,None,0,1,0
Utherydes Wayn,Tully,0,1,0
Utt,None,1,1,0
Val,Wildling,0,0,0
Varamyr,Wildling,1,1,0
Vardis Egen,Arryn,1,1,0
Vargo Hoat,None,1,1,0
Varys,Targaryen,0,1,0
Vayon Poole,Stark,1,1,0
Victarion Greyjoy,House Greyjoy,0,1,1
Viserys Targaryen,House Targaryen,1,1,1
Vylarr,House Lannister,0,1,0
Vyman,Tully,0,1,0
Waif,None,0,0,0
Walda Rivers (daughter of Aemon),None,0,0,1
Walder Frey,None,0,1,1
Walder Rivers,None,0,1,1
Wallen,Wildling,1,1,0
Walton,None,0,1,0
Wat (orphan),None,0,1,0
Wat (sailor),None,0,1,0
Watt,Night's Watch,1,1,0
Watty,None,0,1,0
Waymar Royce,Night's Watch,1,1,1
Wayn (guard),House Stark,0,1,0
Weasel,None,0,0,0
Weeper,Wildling,0,1,1
Weese,Lannister,1,1,0
Wendel Manderly,Stark,1,1,1
Wendello Qar Deeth,None,0,1,1
Werlag,House Greyjoy,1,1,0
Wex Pyke,Stark,0,1,0
Whalen Frey,None,0,1,1
Wilbert,Stark,1,1,0
Will,Night's Watch,1,1,0
Will (orphan),None,0,1,0
Willam Wells,Martell,1,1,0
Willem Lannister,House Lannister,1,1,1
William Mooton,Tully,0,1,1
Willis Wode,Arryn,0,1,1
Willit,Lannister,0,1,0
Willow Witch-eye,Wildling,1,0,0
Willum,Tully,0,1,0
Woth,Night's Watch,1,1,0
Wulfe,House Greyjoy,0,1,0
Wun Weg Wun Dar Wun,Wildling,0,1,0
Wyl (guard),House Stark,1,1,0
Wyl the Whittler,None,1,1,0
Wylis Manderly,Stark,0,1,1
Wylla Manderly,Stark,0,0,1
Wyman Manderly,Stark,0,1,1
Wynafryd Manderly,Stark,0,1,1
Wynton Stout,Night's Watch,0,1,0
Xaro Xhoan Daxos,None,0,1,1
Xhondo,None,0,1,0
Yandry,House Targaryen,0,1,0
Yellow Dick,None,1,1,0
Ygon Farwynd,Greyjoy,0,1,1
Ygritte,Wildling,1,0,0
Yohn Farwynd,Greyjoy,0,1,1
Yohn Royce,Arryn,0,1,1
Yoren,Night's Watch,1,1,0
Young Henly,Night's Watch,1,1,0
Ysilla,House Targaryen,0,1,0
Zei,Stark,0,0,0
Zollo,None,0,1,0
Yurkhaz zo Yunzak,None,1,1,0
Yezzan Zo Qaggaz,None,1,1,1
Torwynd the Tame,Wildling,1,1,0
Talbert Serry,Tyrell,1,1,1
